h1	152	1535	dnaA
h1	4972	5767	virB9
h1	7245	8238	virB11
h1	11349	12189	prmC
h1	13681	14161	rpsG
h1	14182	16258	fusA
h1	16269	17442	tuf
h1	17538	17748	secE
h1	17737	18574	nusG
h1	29212	30175	dusB
h1	31467	32745	serS
h1	32779	34051	purD
h1	38841	39768	prs
h1	39757	40111	gatC
h1	40152	41415	tolB
h1	43264	44383	dnaJ
h1	63661	64117	rpsI
h1	64127	64586	rplM
h1	78664	80170	secD
h1	81378	82872	guaB
h1	82988	83801	rsmA
h1	84779	85868	dprA
h1	94147	97288	putA
h1	97422	100008	acnA
h1	100022	100526	secB
h1	101358	102054	dnaQ
h1	103515	105903	gyrB
h1	116976	117316	ssrA
h1	120743	121787	pheS
h1	124100	124403	rplU
h1	129307	129796	ruvC
h1	129840	130308	ruvX
h1	131491	132916	gatB
h1	140824	142642	uvrC
h1	146535	147531	hemB
h1	147523	148549	nuoH
h1	153222	154461	ftsA
h1	154593	155376	map
h1	156864	157809	rsmH
h1	161429	162578	ubiH
h1	168541	169129	coaE
h1	171487	173983	mutS
h1	176569	178132	guaA
h1	185197	185304	rrf
h1	186323	187412	pstC
h1	187513	188941	atpD
h1	192692	193268	tsaB
h1	199633	200356	recO
h1	207222	209784	clpB
h1	211061	212891	typA
h1	222527	223403	secF
h1	224059	225769	yidC
h1	226174	226657	nusB
h1	229677	230589	argB
h1	231285	232365	prfA
h1	236312	237644	rmuC
h1	279277	280042	coxB
h1	280057	281608	ctaD
h1	282672	283110	rnhA
h1	286787	288437	groL
h1	290610	292350	recJ
h1	298763	300041	clpX
h1	300678	302013	tig
h1	303050	303980	gshB
h1	303964	304996	murG
h1	305463	306837	lpdA
h1	315802	316399	maf
h1	316376	316640	infA
h1	329943	331692	dnaG
h1	340422	341097	radC
h1	347628	348621	holA
h1	353303	354408	prfB
h1	354561	355932	mgtE
h1	369709	371782	tkt
h1	371895	372510	rpsD
h1	372636	372837	iscX
h1	373969	374833	lipA
h1	374886	375603	ubiE
h1	389108	389732	ccmA
h1	390357	392160	aspS
h1	394805	395786	pdhA
h1	395841	396270	hemJ
h1	397215	398535	miaB
h1	426665	427760	ychF
h1	434808	435570	tatC
h1	442101	442776	pyrF
h1	450534	450855	secG
h1	458975	460772	lepA
h1	468805	469339	pgsA
h1	472082	472406	grxD
h1	472600	473995	fumC
h1	474387	475410	obgE
h1	476676	478173	murC
h1	483695	484922	mtaB
h1	485311	486781	gatA
h1	490481	492278	mutL
