h1	10452	10452
h1	54973	54973
h1	132198	132198
h1	159093	159093
h1	160545	160545
h1	171554	171554
h1	182124	182124
h1	200034	200034
h1	334514	334514
h1	355842	355842
h1	364192	364192
h1	405330	405330
h1	467279	467279
h1	538259	538259
h1	575286	575286
h1	599593	599593
h1	616897	616897
h1	760110	760110
h1	776939	776939
h1	783958	783958
h1	807883	807883
h1	949094	949094
h1	956295	956295
h1	1009261	1009261
h1	1011900	1011900
h1	1077859	1077859
h1	1097797	1097797
h1	1103464	1103464
h1	1122600	1122600
h1	1142691	1142691
h1	1234551	1234551
h1	1241472	1241472
h1	1251296	1251296
