h1	10452	10452
h1	54974	54974
h1	132136	132136
h1	159031	159031
h1	160483	160483
h1	171492	171492
h1	182062	182062
h1	199972	199972
h1	335015	335015
h1	356343	356343
h1	364693	364693
h1	405831	405831
h1	454781	454781
h1	467780	467780
h1	538796	538796
h1	575823	575823
h1	600130	600130
h1	617434	617434
h1	760545	760545
h1	777374	777374
h1	784393	784393
h1	808318	808318
h1	949529	949529
h1	956730	956730
h1	1010616	1010616
h1	1013255	1013255
h1	1079215	1079215
h1	1104821	1104821
h1	1123956	1123956
h1	1144047	1144047
h1	1235906	1235906
h1	1242827	1242827
h1	1252651	1252651
